recID,CountryName,CountryCode,pop_2013,lat,lon
1,Aruba,ABW,102911,12.52368,-70.03487
2,Andorra,AND,79218,42.5592,1.5702
3,Afghanistan,AFG,30551674,34.53156,69.12535
4,Angola,AGO,21471618,-12.3329,16.8309
5,Albania,ALB,2773620,41.32233,19.82516
7,United Arab Emirates,ARE,9346129,23.4997,54.1571
8,Argentina,ARG,41446246,-34.60851,-58.37349
9,Armenia,ARM,2976566,40.17334,44.51461
10,American Samoa,ASM,55165,-14.27271,-170.70349
11,Antigua and Barbuda,ATG,89985,17.0852,-61.8118
12,Australia,AUS,23130900,-35.30655,149.12656
13,Austria,AUT,8473786,48.20255,16.3688
14,Azerbaijan,AZE,9416598,40.4299,47.4369
15,Burundi,BDI,10162532,-3.36014,29.36907
16,Belgium,BEL,11195138,50.84839,4.34969
17,Benin,BEN,10323474,6.48771,2.61353
18,Burkina Faso,BFA,16934839,11.58778,-2.47413
19,Bangladesh,BGD,156594962,23.71321,90.39957
20,Bulgaria,BGR,7265115,42.69717,23.32435
21,Bahrain,BHR,1332171,26.22954,50.576
22,"Bahamas, The",BHS,377374,24.6591,-78.006
23,Bosnia and Herzegovina,BIH,3829307,43.85944,18.43576
24,Belarus,BLR,9466000,53.90255,27.5631
25,Belize,BLZ,331900,17.25414,-88.77046
26,Bermuda,BMU,65024,32.29362,-64.78414
27,Bolivia,BOL,10671200,-16.4989,-68.13313
28,Brazil,BRA,200361925,-15.77843,-47.92866
29,Barbados,BRB,284644,13.11202,-59.61269
30,Brunei Darussalam,BRN,417784,4.8919,114.94044
31,Bhutan,BTN,753947,27.4682,89.66189
32,Botswana,BWA,2021144,-24.65527,25.91907
33,Central African Republic,CAF,4616417,6.61404,20.65731
34,Canada,CAN,35158304,45.42179,-75.69119
35,Switzerland,CHE,8081482,46.94843,7.44046
37,Chile,CHL,17619708,-33.43724,-70.65002
38,China,CHN,1357380000,39.90469,116.40708
39,Cote d'Ivoire,CIV,20316086,6.82162,-5.28025
40,Cameroon,CMR,22253959,3.86796,11.51695
41,"Congo, Rep.",COG,4447632,-0.1366,15.8173
42,Colombia,COL,48321405,4.61495,-74.06938
43,Comoros,COM,734917,-11.69219,43.25921
44,Cabo Verde,CPV,498897,17.0545,-25.17401
45,Costa Rica,CRI,4872166,9.92976,-84.08569
46,Cuba,CUB,11265629,22.0677,-79.4995
47,Curacao,CUW,153500,12.1121,-68.93607
48,Cayman Islands,CYM,58435,19.3379,-81.25
49,Cyprus,CYP,1141166,34.8997,32.9066
50,Czech Republic,CZE,10521468,50.07908,14.43323
51,Germany,DEU,80621788,52.51607,13.37699
52,Djibouti,DJI,872932,11.58766,43.1448
53,Dominica,DMA,72003,15.30201,-61.38607
54,Denmark,DNK,5613706,56.3716,9.1073
55,Dominican Republic,DOM,10403761,19.0691,-70.886
56,Algeria,DZA,39208194,28.0236,2.3609
57,Ecuador,ECU,15737878,-0.20567,-78.50875
